""2020-07-19 19:10:05 [restartedMain] DEBUG c.j.j.a.SpringSecurityJwtExampleApplication - Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
""2020-07-19 19:10:05 [restartedMain] INFO  c.j.j.a.SpringSecurityJwtExampleApplication - No active profile set, falling back to default profiles: default
""2020-07-19 19:10:06 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2020-07-19 19:10:06 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 125ms. Found 2 JPA repository interfaces.
""2020-07-19 19:10:06 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-19 19:10:06 [restartedMain] WARN  o.a.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
""2020-07-19 19:10:07 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9192 (http)
""2020-07-19 19:10:07 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-07-19 19:10:07 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
""2020-07-19 19:10:07 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-07-19 19:10:07 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Starting...
""2020-07-19 19:10:07 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Start completed.
""2020-07-19 19:10:07 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:testdb'
